CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31679;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31760;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31679;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31760;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31760;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31760;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31760;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31773;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31679;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31773;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31773;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31828;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31828;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31829;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31829;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31829;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31829;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31829;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31679;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31857;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31828;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31828;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31857;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31857;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31903;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31773;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31828;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31903;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31934;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31857;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31903;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31679;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31934;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31773;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31934;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31935;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31935;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31903;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31935;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31936;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31936;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31936;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31934;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31936;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31934;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31962;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31857;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31936;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31903;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31980;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31935;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32014;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31980;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-31980;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32014;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32015;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31962;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32014;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32015;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32015;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31980;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32014;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32015;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32031;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32031;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32059;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32059;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32059;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-31935;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32031;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32059;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32069;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32069;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32015;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32162;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32031;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32162;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32162;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-31980;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32014;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32031;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32201;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32069;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32201;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32201;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32162;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32274;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32162;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32274;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32274;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32294;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32274;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32294;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32294;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32274;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32294;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32069;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32297;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32069;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32297;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32310;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32310;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32310;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32310;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32319;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32201;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32319;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32319;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32297;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32297;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32319;Erreur;
datPremEch;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;102-32319;Erreur;
periodRemb;OBL002;;Champ obligatoire manquant;102-32331;Erreur;
datPremEch;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;102-32331;Erreur;
