CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;628;Erreur;628
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;333;Erreur;333
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;886;Erreur;886
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1086;Erreur;1086
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1065;Erreur;1065
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;861;Erreur;861
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1082;Erreur;1082
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1134;Erreur;1134
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1036;Erreur;1036
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1131;Erreur;1131
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1122;Erreur;1122
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1121;Erreur;1121
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1126;Erreur;1126
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1147;Erreur;1147
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1128;Erreur;1128
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1127;Erreur;1127
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1097;Erreur;1097
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;657;Erreur;657
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;1037;Erreur;1037
