CHAMP;CODE;DESIGNATION;IDINTBEN;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55800145482;Donnée inexistante dans le référentiel;540631;Erreur;55800145482
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52900352097;Donnée inexistante dans le référentiel;540623;Erreur;52900352097
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12200124346;Donnée inexistante dans le référentiel;540753;Erreur;12200124346
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300101679;Donnée inexistante dans le référentiel;540622;Erreur;80300101679
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80100182272;Donnée inexistante dans le référentiel;540625;Erreur;80100182272
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32400011923;Donnée inexistante dans le référentiel;540617;Erreur;32400011923
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400181274;Donnée inexistante dans le référentiel;540618;Erreur;42400181274
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55800008288;Donnée inexistante dans le référentiel;540620;Erreur;55800008288
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32300347558;Donnée inexistante dans le référentiel;540603;Erreur;32300347558
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300304880;Donnée inexistante dans le référentiel;540595;Erreur;80300304880
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300304897;Donnée inexistante dans le référentiel;540597;Erreur;80300304897
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32300344429;Donnée inexistante dans le référentiel;540594;Erreur;32300344429
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32300348942;Donnée inexistante dans le référentiel;540590;Erreur;32300348942
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;91000185529;Donnée inexistante dans le référentiel;540593;Erreur;91000185529
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42000144718;Donnée inexistante dans le référentiel;540589;Erreur;42000144718
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;20100002737;Donnée inexistante dans le référentiel;540591;Erreur;20100002737
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42000353183;Donnée inexistante dans le référentiel;540580;Erreur;42000353183
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55800008042;Donnée inexistante dans le référentiel;540883;Erreur;55800008042
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300001028;Donnée inexistante dans le référentiel;540588;Erreur;80300001028
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55800009090;Donnée inexistante dans le référentiel;540884;Erreur;55800009090
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55800009323;Donnée inexistante dans le référentiel;540885;Erreur;55800009323
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000351203;Donnée inexistante dans le référentiel;540880;Erreur;92000351203
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000000022;Donnée inexistante dans le référentiel;540881;Erreur;92000000022
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000342021;Donnée inexistante dans le référentiel;540822;Erreur;92000342021
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000000089;Donnée inexistante dans le référentiel;540882;Erreur;92000000089
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000001631;Donnée inexistante dans le référentiel;540879;Erreur;92000001631
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000000316;Donnée inexistante dans le référentiel;540830;Erreur;92000000316
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000000559;Donnée inexistante dans le référentiel;540816;Erreur;92000000559
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000000827;Donnée inexistante dans le référentiel;540834;Erreur;92000000827
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;92000015764;Donnée inexistante dans le référentiel;540811;Erreur;92000015764
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300007818;Donnée inexistante dans le référentiel;540687;Erreur;52300007818
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300248861;Donnée inexistante dans le référentiel;540688;Erreur;52300248861
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300002503;Donnée inexistante dans le référentiel;540686;Erreur;52300002503
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52300274699;Donnée inexistante dans le référentiel;540684;Erreur;52300274699
