CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540631;Erreur;558
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540753;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540631;Erreur;3
dateMEP;OBL002;;Champ obligatoire manquant;540631;Erreur;
dateMEP;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;540631;Erreur;
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540631;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540623;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540625;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540623;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540622;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540617;Erreur;29
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540617;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540753;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540617;Erreur;324
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540620;Erreur;558
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540625;Erreur;33
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540622;Erreur;66
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540620;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540603;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540618;Erreur;424
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540603;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540603;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540595;Erreur;33
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540595;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540618;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540595;Erreur;803
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540620;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540597;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540594;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540597;Erreur;803
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540597;Erreur;33
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540625;Erreur;801
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540590;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540590;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540590;Erreur;323
dateMEP;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;540631;Erreur;
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540593;Erreur;56
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540622;Erreur;803
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540589;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540593;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540593;Erreur;910
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540594;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540618;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540594;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540623;Erreur;529
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540587;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540591;Erreur;56
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540591;Erreur;201
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540589;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540580;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540589;Erreur;420
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540580;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540587;Erreur;420
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540587;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540580;Erreur;420
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540588;Erreur;803
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540883;Erreur;558
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540591;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540884;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540884;Erreur;558
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540885;Erreur;64
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540588;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540884;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540822;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540885;Erreur;558
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540588;Erreur;58
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540880;Erreur;6
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540822;Erreur;6
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540885;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540880;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540883;Erreur;58
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540881;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540881;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540882;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540882;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540883;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540822;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540879;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540879;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540834;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540834;Erreur;920
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540830;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540830;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540830;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540881;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540816;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540816;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540811;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540882;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540687;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540687;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540811;Erreur;920
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540816;Erreur;920
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540834;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540688;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540688;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540686;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540686;Erreur;523
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540687;Erreur;523
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540879;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540880;Erreur;920
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540684;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540688;Erreur;523
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540685;Erreur;523
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540686;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540684;Erreur;58
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540811;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540683;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540683;Erreur;58
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540681;Erreur;523
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540684;Erreur;523
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540681;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540682;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540878;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540681;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540685;Erreur;58
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540683;Erreur;523
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540682;Erreur;31
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540682;Erreur;523
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540876;Erreur;56
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540685;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540876;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540875;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540875;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540877;Erreur;426
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540874;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540874;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540874;Erreur;424
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540878;Erreur;426
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540873;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540878;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540872;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540877;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540871;Erreur;3
