CHAMP;CODE;DESIGNATION;IDINTERNECLT;LIBELLE;TYPE;VALEURACTUEL
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007282;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007282;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007282;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007282;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007282;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007281;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007281;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007281;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007279;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007279;Date invalide;Erreur;ND
mobile;OBL002;;10200007279;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007279;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007281;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007279;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007277;Date invalide;Erreur;ND
mobile;OBL002;;10200007277;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007277;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007272;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007281;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007272;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007272;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007272;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007272;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007268;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007268;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007267;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007267;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007267;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007267;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007267;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007268;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007265;Format incorrect;Erreur;ND
mobile;OBL002;;10200007265;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007265;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007264;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007265;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007264;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007268;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007264;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007265;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007257;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007257;Date invalide;Erreur;ND
mobile;OBL002;;10200007257;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007257;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007268;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007253;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007253;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007253;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007264;Date invalide;Erreur;ND
mobile;OBL002;;10200007253;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007131;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007131;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007277;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007131;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007131;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007277;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007111;Date invalide;Erreur;ND
mobile;OBL002;;10200007111;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007111;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007264;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007111;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007110;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007110;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007109;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007109;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007257;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007109;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007109;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007109;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007110;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007108;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007108;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007110;Format incorrect;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007253;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007107;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007108;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007107;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007110;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007107;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007111;Format incorrect;Erreur;ND
mobile;OBL002;;10200007107;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007107;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007100;Date invalide;Erreur;ND
mobile;OBL002;;10200007100;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007100;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007100;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007100;Syntaxe spécifique non respectée;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007131;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007099;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007099;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007099;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007108;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007048;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007048;Format incorrect;Erreur;ND
mobile;OBL002;;10200007048;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007048;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007048;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007047;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007047;Format incorrect;Erreur;ND
mobile;OBL002;;10200007047;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007047;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007047;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007108;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007043;Date invalide;Erreur;ND
mobile;OBL002;;10200007043;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007043;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007043;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007067;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007067;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007043;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007042;Format incorrect;Erreur;ND
mobile;OBL002;;10200007042;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007042;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007067;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007041;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007041;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007041;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007099;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007067;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007041;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007039;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007099;Date invalide;Erreur;ND
mobile;OBL002;;10200007039;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007039;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007067;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007039;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007037;Date invalide;Erreur;ND
mobile;OBL002;;10200007037;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007037;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007037;Syntaxe spécifique non respectée;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007037;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007041;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007026;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007026;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007042;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007023;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007023;Format incorrect;Erreur;ND
mobile;OBL002;;10200007023;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007026;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007042;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007023;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200007023;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007015;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007015;Format incorrect;Erreur;ND
mobile;OBL002;;10200007015;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007015;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007015;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007011;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007011;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200007008;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007008;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200007008;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007039;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200007008;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007001;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007026;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007001;Format incorrect;Erreur;ND
mobile;OBL002;;10200007026;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006231;Date invalide;Erreur;ND
secActEcon;OBL002;;10200007001;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006231;Syntaxe spécifique non respectée;Erreur;ND
mobile;OBL002;;10200006231;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006215;Date invalide;Erreur;ND
mobile;OBL002;;10200006215;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200007011;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006215;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200007008;Date invalide;Erreur;ND
mobile;OBL002;;10200007001;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200007011;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200007011;Format incorrect;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006215;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200006182;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006182;Format incorrect;Erreur;ND
mobile;OBL002;;10200006182;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006168;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006168;Format incorrect;Erreur;ND
mobile;OBL002;;10200006168;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006215;Format incorrect;Erreur;ND
mobile;OBL002;;10200006151;Champ obligatoire manquant;Erreur;
secActEcon;OBL002;;10200006151;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006151;Syntaxe spécifique non respectée;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006182;Date invalide;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006149;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006149;Format incorrect;Erreur;ND
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006151;Date invalide;Erreur;ND
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006182;Syntaxe spécifique non respectée;Erreur;ND
secActEcon;OBL002;;10200006149;Champ obligatoire manquant;Erreur;
datCreat;SYN004;Format attendu pour les dates est JJMMAAAA;10200006122;Date invalide;Erreur;ND
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006122;Format incorrect;Erreur;ND
mobile;OBL002;;10200006149;Champ obligatoire manquant;Erreur;
mobile;OBL002;;10200006122;Champ obligatoire manquant;Erreur;
rccm;SYN001;La longueur doit etre comprise entre 15 et 25 caractères, longueur actuelle : 2;10200006151;Format incorrect;Erreur;ND
secActEcon;OBL002;;10200006122;Champ obligatoire manquant;Erreur;
nifp;SYN003;La valeur saisie doit être de type numérique, de longueur 9, ;10200006122;Syntaxe spécifique non respectée;Erreur;ND
