"actif";"code";"nom";"participant";"libelle"
"false";"190";"BCRG";"GN/001";"Ag Conakry"
"false";"191";"BCRG";"GN/001";"Agence De Kankan"
"false";"192";"BCRG";"GN/001";"Agence De Labe"
"false";"193";"BCRG";"GN/001";"Agence De Boke"
"false";"194";"BCRG";"GN/001";"Agence De N'zerekore"
"false";"195";"BCRG";"GN/001";"Agence De Mamou"
"false";"196";"BCRG";"GN/001";"Agence De Kindia"
"false";"248";"VISTA GUI";"GN/002";"Agence De Kipe"
"false";"253";"VISTA GUI";"GN/002";"Agence De Yattaya"
"false";"295";"VISTA GUI";"GN/002";"Bicigui Coyah"
"false";"296";"VISTA GUI";"GN/002";"Agence De Koundara"
"false";"300";"VISTA GUI";"GN/002";"Bicigui Dabola"
"false";"306";"VISTA GUI";"GN/002";"Bicigui Siguiri"
"false";"322";"VISTA GUI";"GN/002";"Agence De Matoto"
"false";"323";"VISTA GUI";"GN/002";"Agence De Beyla"
"false";"329";"VISTA GUI";"GN/002";"Agence De Diecke"
"false";"348";"VISTA GUI";"GN/002";"Agence De Lambanyi"
"false";"354";"VISTA GUI";"GN/002";"Bicigui Agence Prestige"
"false";"355";"VISTA GUI";"GN/002";"Bicigui Espace Professionnel"
"false";"356";"VISTA GUI";"GN/002";"Bicigui Sandervalia"
"false";"361";"VISTA GUI";"GN/002";"Bicigui Kagbelen"
"false";"546";"VISTA GUI";"GN/002";"Agence De Faranah"
"false";"788";"VISTA GUI";"GN/002";"Agence De Kindia"
"false";"842";"VISTA GUI";"GN/002";"Ag République Conakry"
"false";"843";"VISTA GUI";"GN/002";"Agence Conakry Niger"
"false";"844";"VISTA GUI";"GN/002";"Agence Conakry Madina"
"false";"846";"VISTA GUI";"GN/002";"Agence De Fria"
"false";"847";"VISTA GUI";"GN/002";"Agence De Labe"
"false";"848";"VISTA GUI";"GN/002";"Agence De Kamsar"
"false";"849";"VISTA GUI";"GN/002";"Agence De Boke"
"false";"850";"VISTA GUI";"GN/002";"Agence De Kankan"
"false";"851";"VISTA GUI";"GN/002";"Agence De N'zerekore"
"false";"852";"VISTA GUI";"GN/002";"Agence De Kissidougou"
"false";"853";"VISTA GUI";"GN/002";"Agence De Macenta"
"false";"854";"VISTA GUI";"GN/002";"Agence De Sangaredi"
"false";"855";"VISTA GUI";"GN/002";"Agence De Mamou"
"false";"856";"VISTA GUI";"GN/002";"Agence De Dixinn-Gare"
"false";"893";"VISTA GUI";"GN/002";"Agence De Forecariah"
"true";"001";"SGG";"GN/003";"Cite Chemin De Fer"
"true";"002";"SGG";"GN/003";"Kamsar"
"true";"003";"SGG";"GN/003";"Siguiri"
"true";"004";"SGG";"GN/003";"Labe"
"true";"005";"SGG";"GN/003";"Sangaredi"
"true";"006";"SGG";"GN/003";"Coleah"
"true";"007";"SGG";"GN/003";"La République"
