"identifiant";"libelle";"sigle"
"00";"Société A Responsabilité Limitée Unipersonnelle";"Sarlu"
"01";"Entreprise Individuelle";"Eurl"
"02";"Société En Nom Collectif";"Snc"
"03";"Société A Responsabilité Limitée";"Sarl"
"04";"Société Anonyme";"Sa"
"05";"Société En Commandite Simple";"Scs"
"07";"Société En Participation";"Sep"
"08";"Société Civile Immobilière";"Sci"
"09";"Autre Sociétés Commerciales";"Asco"
"10";"Société Par Act Simplifiees";"Sas"
"11";"Société par Actions Simplifiée.Unipersonnelle";"Sasu"
"13";"Groupement Intérêt Economique";"Gie"
"14";"Ste Civ.Exploitation Agricole";"Scea"
"15";"Groupement Foncier Agricole";"Gfa"
"16";"Société Civ Professionnelle";"Scp"
"18";"Société D'exercice Liberal";"Sel"
"19";"Autres Sociétés Civiles";"Asci"
"21";"Société Cooper Simplifiée";""
"22";"Société Cooper Avec Conseil Administration";""
"24";"Autres Soc Coopératives";"Asc"
"25";"Société Mutuelle Assurances Ou Banque";"Sm"
"26";"Syndicat Professionnel";"Sp"
"28";"Autres Sociétés De Droit Prive";"Asdp"
"30";"Ordre Professionnel";"Op"
"31";"Autre Sociétés Droit diama";"Asdpc"
"32";"Société A Capital Variable";"Scv"
"33";"Association";""
"39";"Etat Et Ses Démembrements";""
