"garantie";"garantie_code";"garantie_libelle";"nature";"nature_code";"nature_libelle"
"011-Ouverture Crédits Confirmes";"011";"Ouverture Crédits Confirmes";"01 - Garanties Financement Credoc";"01";"Garanties Financement Credoc"
"012-Acceptations Ou Engagements À Payer";"012";"Acceptations Ou Engagements À Payer";"01 - Garanties Financement Credoc";"01";"Garanties Financement Credoc"
"013-Engagements Sur Facilites D'émission De Titres";"013";"Engagements Sur Facilites D'émission De Titres";"01 - Garanties Financement Credoc";"01";"Garanties Financement Credoc"
"014-Autres Engagements En Faveur De La Clientèle";"014";"Autres Engagements En Faveur De La Clientèle";"01 - Garanties Financement Credoc";"01";"Garanties Financement Credoc"
"021-Obligations Cautionnées";"021";"Obligations Cautionnées";"02 - Garanties Reçues";"02";"Garanties Reçues"
"022-Cautions Et Avals";"022";"Cautions Et Avals";"02 - Garanties Reçues";"02";"Garanties Reçues"
"023-Garanties De Remboursement De Crédits";"023";"Garanties De Remboursement De Crédits";"02 - Garanties Reçues";"02";"Garanties Reçues"
"024-Hypothéques";"024";"Hypothéques";"02 - Garanties Reçues";"02";"Garanties Reçues"
"025-Garantie De L'état";"025";"Garantie De L'état";"02 - Garanties Reçues";"02";"Garanties Reçues"
"026-Assurances";"026";"Assurances";"02 - Garanties Reçues";"02";"Garanties Reçues"
"027-Garanties Financières";"027";"Garanties Financières";"02 - Garanties Reçues";"02";"Garanties Reçues"
"028-Autres Garanties Reçues";"028";"Autres Garanties Reçues";"02 - Garanties Reçues";"02";"Garanties Reçues"
"031-Valeurs Reçues En Garantie";"031";"Valeurs Reçues En Garantie";"03 - Autres EPS Reçus";"03";"Autres EPS Reçus"
"032-Loyers A Percevoir";"032";"Loyers A Percevoir";"03 - Autres EPS Reçus";"03";"Autres EPS Reçus"
"033-Engagements Divers Reçus";"033";"Engagements Divers Reçus";"03 - Autres EPS Reçus";"03";"Autres EPS Reçus"
