"code";"identifiant";"nom";"sigle";"type"
"01";"001";"Banque Centrale de la République de Guinée";"BCRG";"BANQUE"
"01";"002";"VISTA GUI";"VISTA GUI";"BANQUE"
"01";"003";"Société Générale Guinée";"SGG";"BANQUE"
"01";"004";"Banque Islamique de Guinée";"BIG";"BANQUE"
"01";"005";"Orabank Guinée";"ORABANK";"BANQUE"
"01";"006";"Banque Populaire Maroco Guinéenne";"BPMG";"BANQUE"
"01";"008";"FBNBANK Guinée";"FBNBANK";"BANQUE"
"01";"010";"ECOBANK Guinée";"ECOBANK";"BANQUE"
"01";"011";"VISTA BANK";"VISTA BANK";"BANQUE"
"01";"012";"SKYE BANK Guinée";"SKYE BANK";"BANQUE"
"01";"013";"Banque Sahelo-Saharienne pour l'Investissement et le Commerce";"BSIC";"BANQUE"
"01";"015";"United Bank for Africa Guinée";"UBA";"BANQUE"
"01";"017";"NSIA BANQUE Guinée";"NSIA";"BANQUE"
"01";"019";"Banque pour le Commerce et l'Industrie Guinée";"BCI";"BANQUE"
"01";"021";"Afriland First Bank Guinée";"AFB";"BANQUE"
"01";"022";"Banque Nationale de Guinée";"BNG";"BANQUE"
"01";"023";"Banque de Développement de Guinée";"BDG";"BANQUE"
"01";"024";"Banque Nationale d'Investissement de Guinée";"BNIG";"BANQUE"
"01";"036";"Access Bank Guinée";"ACCESS BANK";"BANQUE"
"01";"037";"Coris Bank International Guinée";"CORIS BANK";"BANQUE"
"01";"038";"DIAMA Bank Guinée SA (non ouvert au public)";"DIAMA BANK";"BANQUE"
"01";"039";"La Société de Financement du Commerce et de l'Industrie (non ouvert au public)";"SFCI BANK";"BANQUE"
"02";"101";"Crédit Rural de Guinée";"CRG-SA";"IMF"
"02";"102";"Mon Crédit Guinée SA";"";"IMF"
"02";"103";"Maison Guinéenne de l'Entrepreneur";"MGE";"IMF"
"02";"104";"Réseau des Caisses Populaires d'Épargne et de Crédit de Guinée";"CPECG-YETE MALI";"IMF"
"02";"105";"Agence Autonome d'Assistance Intégrée aux Entreprises";"3AE";"IMF"
"02";"106";"Mutuelle de Crédit et d'Épargne Sabou Guinée";"SABOU";"IMF"
"02";"107";"Financial Développement";"FINADEV SA";"IMF"
"02";"108";"Mutuelle Financière des Femmes Africaines";"MUFFA et MC2";"IMF"
"02";"109";"Jatropha SA";"JATROPHA SA";"IMF"
"02";"110";"Compagnie Financière Africaine";"COFINA";"IMF"
"02";"111";"Gentina Cash Finance";"GECAFI";"IMF"
"02";"112";"Crédit Nafa Guinée";"";"IMF"
"02";"113";"Orange Microfinance Guinée SA";"";"IMF"
"02";"115";"Faîtière des Association des Services Financiers de Guinée";"FASEF";"IMF"
"02";"118";"Atantic Microfinance for Africa";"AMIFA SA";"IMF"
"02";"119";"Crédit Kash Guinée Conakry";"";"IMF"
"02";"121";"Tab Finance SA";"";"IMF"
"02";"122";"Wakili SA";"";"IMF"
"02";"123";"Groupe AKIBA Finance SA";"";"IMF"
"02";"131";"Lanala Finance";"";"IMF"
"04";"100";"Guinea Leasing Service";"";"ETABLISSEMENT DE CREDIT BAIL"
"04";"134";"African Lease Guinée";"";"ETABLISSEMENT DE CREDIT BAIL"
"04";"301";"Société Leasing Guinée";"";"ETABLISSEMENT DE CREDIT BAIL"
