"description";"identifiant"
"Etat et organismes assimilés";"01"
"Administrations Centrales";"011"
"Administrations locales & régionales";"012"
"Administrations de Sécurités Sociales";"013"
"Sociétés non financières (SNF)";"02"
"SNF publiques";"021"
"Autres SNF";"022"
"Ménages";"03"
"Entreprises individuelles";"031"
"Particuliers";"032"
"Groupes informels";"033"
"Institutions sans but lucratif au service des ménages (ISBL)";"04"
"Clientèle financière";"05"
"Assurances et caisses de retraite";"051"
"Autres intermédiaires financiers";"052"
