code;libelle
001;COYAH
002;MANEAH
003;MAFERINYAH
004;DUBREKA
005;KALOUM
006;MATOTO
007;ENTA
008;TAOUYAH
009;MADINA
010;SONFONIA
011;LAMBANYI
012;FORECAIAH
013;BENTY
014;FARMORYAH
015;MOUSSAYAH
016;SIKHOUROU
017;KINDIA
018;FRIGUIAGBE
019;MAMBIA
020;BANGOUYAH
021;MADINA OULA
022;MISSIRA
023;WENDOU MBOUR
024;SANGAREDI
025;BOFFA
026;DOUPROU
027;KOLIA
028;KOUKOUDE
029;TOUGNIFILY
030;BINTIMODIA
031;BOKE
032;KOLABOUI
033;KAMSAR
034;MANKOUNTAN
035;TANENE
036;KOBA
037;FRIA
038;TELIMELE
039;TARIHOYE
040;SANGAREYAH
041;SINTA
042;LEYMIRO
043;LABE
044;SANNOU
045;KOURAMANGUI
046;LELOUMA
047;DIOUNTOU
048;MALI
049;YIMBERING
050;POPODARA
051;T BORI
052;PITA
053;TIMBI-TOUNNI
054;DONGHOL TOUMA
055;TIMBI-MADINA
056;TOUGUE
057;KOUBIA
058;KONAH
059;KOIN
060;KANAKALABE
061;GAOUAL
062;KAKONI
063;KOUMBIA
064;TOUBA
065;KOUNDARA
066;SAREBOIDO
067;TERMESSE
068;dounet
069;mamou
070;linsan
071;ourekaba
072;saramoussaya
073;DALABA
074;DITINN
075;POREDAKA
076;GONGORE
077;KANKAN
078;MORIBAYA
079;MISSAMANA
080;BATE-NAFADJI
081;TINTIOULEN
082;MANDIANA
083;S/BARANAMA
084;OUROLA
085;MORODOU
086;KANTOUMANINA
087;NIANTANINA
088;KIIERAN
089;DIALAKORO
090;BALANDOUGOUBA
091;KOUNDIAN
092;KONDIANAKORO
093;LOILA
094;Kouroussa
095;Koumana
096;Kignero
097;Banfele
098;Saraya
099;Kaboukaria
100;Komola
101;KEROUANE
102;BANANKORO
103;DAMARO
104;KOMOUDOU
105;SIGUIRI
106;DOKO
107;KOUREMALE
108;NIANDANKÖRÖ
109;NORASSOBA
110;NOUNKOUNKAN
111;MALEAH
112;SIGUIRINI
113;FRANWALIAH
114;KINTINIAN
115;FARANAH
116;MARELLA
117;SANDENIA
118;TIRO
119;BANIAN
120;KOBIKORO
121;HEREMAKONO
122;SONGOYAH
123;KISSIDOUGOU
124;SANGARDO
125;ALBADARIAH
126;KONDIADOU
127;DANDOU
128;BARDOU
129;FERMESSADOU
130;KASSADOU
131;YENDE
132;YOMBIRO
133;TOKOUNOU
134;ARFAMOUSSAYA
135;BANKO
136;BISSIKIRIMA
137;DABOLA
138;DOGOMET
139;DINGUIRAYE ET MBONET
140;DIALAKORO
141;KALINKO
142;BEYLA
143;MORIBADOU
144;BOOLA
145;SINKO
146;FOUALAH
147;GBESSOBA
148;GBACKEDOU
149;YOMOU
150;PELA
151;DIECKE
152;BIGNAMOU
153;BOWE
154;LOLA
155;GAMABEREMA
156;LAINE
157;TOUNKARATA
158;KOKOTA
159;NZOO
160;N'Zérékoré 1
161;N'Zérékoré 2
162;Gouécké
163;Koulé
164;Samoé
165;Soulouta
166;Kobéla
167;Palé
168;GUECKEDOU
169;GUENDEMDOU
170;KOUNDOU
171;NOGOA
172;TEMESSADOU
173;OUENDE KENE
174;MACENTA
175;BOFOSSOU
176;BINIKALA
177;DARO
178;PANZIAZOU
179;SEREDOU
180;KOUANKAN
181;KOYAMAH
182;FASSANKONY
